OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
53512.0,8.994999886,26.163862,28.61039856,235.3439387,0.0,18.0,0.0,0.0,332.2195129,0.628894448
79055.0,7.241000175,136.721368,145.674833,1193.708661,0.0,27.0,0.0,0.0,333.2907715,0.505716443
60093.0,5.975999832,40.07543944,42.40525738,237.4519576,0.0,0.0,0.0,78.0,357.541748,0.665830493
14319.0,8.05700016,229.1291986,229.209976,2838.115221,0.0,28.0,0.0,0.0,307.6035156,0.687061071
62098.0,9.583000183,244.0453188,266.2723374,2338.68629,1.0,89.0,0.0,0.0,358.5072632,0.24079226
21037.0,1.850999951,12.89684585,12.89696149,23.87206167,0.0,0.0,0.0,63.0,356.809021,0.584753275
48001.0,2.292749882,115.2513545,115.2521928,264.6949729,0.0,46.0,0.0,0.0,352.380249,0.5144279
55055.0,10.93299961,89.01678861,106.4629682,973.2205499,0.0,3.0,0.0,42.0,349.7107544,0.619718075
97286.0,7.091333389,273.6502156,273.6500435,1594.844387,1.0,95.0,0.0,0.0,282.0507507,0.15119639
38683.0,24.76300049,400.0,434.63759,9905.2,1.0,100.0,0.0,0.0,292.5110168,0.118725814
99801.0,10.24600029,338.6185589,344.7619007,3469.485755,1.0,78.0,0.0,0.0,298.0805054,0.19719696
16538.0,4.921999931,12.7723406,14.5155551,77.77829275,0.0,22.0,0.0,48.0,329.0807495,0.633257985
34181.0,12.00699997,251.2380585,265.8479452,4436.325107,1.0,100.0,0.0,0.0,289.0787659,0.111373618
52721.0,3.09800005,20.8950045,21.2670002,64.73272393,0.0,14.0,0.0,0.0,376.2907715,0.590004086
42213.0,3.280499935,31.6653018,31.66529535,98.57396509,1.0,71.0,0.0,0.0,335.4387817,0.446319491
19781.0,4.936500072,67.65182739,71.05476634,324.2715698,0.0,23.0,0.0,0.0,308.3367615,0.679563046
42868.0,3.493000031,1.198935,1.198940055,4.187879956,0.0,0.0,0.0,70.0,360.3845215,0.780234218
42408.0,3.693000078,17.3631245,23.11299896,64.12201878,0.0,0.0,0.0,52.0,391.1285095,0.783569276
32005.0,6.484333515,24.263106,28.89703474,185.309927,0.0,0.0,0.0,0.0,357.9202576,0.326861769
63132.0,9.392999649,8.703227999,8.703229586,81.74942059,1.0,100.0,0.0,0.0,296.5647583,0.085702822
100923.0,9.677000046,15.32815545,20.70004786,148.3305603,0.0,24.0,0.0,0.0,307.6135254,0.605620325
37159.0,5.53399992,46.0695262,46.09352969,250.9003735,1.0,32.0,0.0,0.0,321.319519,0.558922291
14750.0,7.349500179,94.81356774,104.335129,923.6310347,1.0,43.0,0.0,0.0,303.1872559,0.528531909
11853.0,5.119999886,49.4735907,51.17823047,107.7997347,1.0,23.0,0.0,0.0,291.9170227,0.681612432
91016.0,9.431400299,154.4175174,227.7484873,1791.973648,0.0,35.0,0.0,0.0,309.7422485,0.594456911
53298.0,17.15099907,187.8308745,221.4255721,3221.487328,0.0,19.0,0.0,0.0,290.1727905,0.634209573
